store_name,longitude,latitude,address,assistance_type
7-Eleven #37343H,-71.153351,42.69289,390 S Union Street,snap_wic
Amable Super Market,-71.1577,42.718159,304 Jackson Street,snap_wic
Caballo Food Corp.,-71.151474,42.691254,69 Winthrop Ave,snap_wic
"Cast-Mart, LLC",-71.174004,42.690216,606 Andover Street,snap_wic
CVS Pharmacy #1786,-71.171478,42.708828,266 Broadway,snap_wic
CVS Pharmacy #952,-71.161957,42.693943,205 South Broadway,snap_wic
Esmy Market Inc.,-71.158569,42.697514,110 Parker Street,snap_wic
Essex Market,-71.157722,42.707756,175 Essex Street,snap_wic
"Fredy Mini Market, Inc.",-71.170029,42.70961,130 Franklin Street,snap_wic
Gigante Meat Market #2,-71.169601,42.720123,333 Lawrence Street,snap_wic
Gomez Meat Market LLC,-71.160324,42.691639,272 South Broadway,snap_wic
Jimenez Supermarket,-71.155579,42.71199,117 Newbury Street,snap_wic
La Fruteria Supermarket,-71.179405,42.712307,75 Manchester Street,snap_wic
Market Basket #5,-71.171823,42.702356,700 Essex Street,snap_wic
Papi Grocery Store,-71.153442,42.696461,205 South Union Street,snap_wic
Raquel Supermarket,-71.168915,42.719486,296 Lawrence Street,snap_wic
Rojas Food Market LLC,-71.172554,42.716045,269 Park Street,snap_wic
Suazo Market,-71.160309,42.687965,50 Inman Street,snap_wic
Tenares Grocery Inc.,-71.158478,42.718575,64 Berkeley Street,snap_wic
Union Supermarket II,-71.176079,42.706463,473 Haverhill Street,snap_wic
Union Supermarket Inc.,-71.153427,42.69598,239-241 Union Street,snap_wic
V&V Market Inc.,-71.153427,42.695377,273 South Union Street,snap_wic
Walgreens #3337,-71.169273,42.706287,138 Broadway,snap_wic
3 J Market,-71.170486,42.711632,88 Auburn St,snap
7-ELEVEN 33454B,-71.165619,42.707535,99 Hampshire St,snap
7-Eleven Store 34405B,-71.18959,42.704838,703 Haverhill St,snap
Abreu Market Inc,-71.162537,42.691517,34 Brookfield St,snap
Bonanza Market Inc,-71.157799,42.713905,179 Jackson St,snap
Broadway Corner Mart,-71.15464,42.68346,501 S Broadway,snap
Cardenes Market,-71.171555,42.71941,513 Hampshire St,snap
Carlos Grocery,-71.167274,42.714973,51 Myrtle St,snap
Carniceria Market,-71.157906,42.711418,88 Jackson St,snap
Castillo Food Enterprises Inc,-71.168068,42.718899,271 Lawrence St,snap
Cavali Meat Market Inc,-71.1744,42.702168,775 Essex St,snap
City Mart,-71.180656,42.704563,576 Haverhill St,snap
Corporation Market,-71.15564,42.71254,136 Newbury St,snap
Cumberland Farms 6742,-71.158882,42.689598,320 S Broadway,snap
Dollar Tree 6095,-71.162727,42.695835,138 S Broadway,snap
E Market 2,-71.150185,42.702663,265 Merrimack St,snap
El Arca Supermarket,-71.172241,42.709766,296 Broadway,snap
El Gustaso Supermarket And Restaurant Inc,-71.17215,42.709667,298 Broadway,snap
El Mercadito Grocery Store,-71.170357,42.714943,49 Walnut St,snap
El Pilon Supermarket,-71.168884,42.711399,262 Hampshire St,snap
El Rincon Dominicana 1,-71.173996,42.702248,773 Essex St,snap
Elvis's Variety,-71.165863,42.69725,9 Newton St,snap
Emmanuel Market,-71.163055,42.716637,99 Park St,snap
Family Dollar 3462,-71.150497,42.690643,69B Winthrop Ave,snap
Family Dollar Store 11535,-71.158844,42.689548,320 S Broadway,snap
Fernandez Grocery Inc,-71.168365,42.710781,232 Hampshire St,snap
Frias Mini Market,-71.156342,42.694122,180 Boxford St,snap
GEMELAS MARKET,-71.153374,42.709881,54 Union St,snap
Go 1 Dollar 4,-71.149765,42.690166,73 Winthrop Ave,snap
Gomez Market,-71.15461,42.717476,294 Prospect St,snap
Groundwork Lawrence Inc (Saturday Market),-71.14492,42.687401,Wintrhop Rd,snap
Groundwork Lawrence Inc (Wednesday Market 2),-71.163261,42.706955,372 Essex St,snap
Hernandez Market,-71.146477,42.699711,47 Loring St,snap
J&J Mini Market Inc,-71.154961,42.718391,324B Prospect St,snap
Jackie's Market LLC,-71.178589,42.717651,651 Broadway,snap
Jacqueline Supermarket Corp,-71.163078,42.69714,199 Salem St,snap
Jamay Inc,-71.173775,42.715973,309 Park St,snap
"Jan Grocery Store, Inc.",-71.167519,42.717857,76 Bennington St,snap
Javier Market,-71.142296,42.720451,311 E Haverhill St,snap
Kiu Management Llc,-71.168457,42.707695,100 Franklin St,snap
L. Lawrence Store,-71.153442,42.698719,107 S Union St,snap
La Carniceria Supermarket Corp,-71.153343,42.697594,164 S Union St,snap
La Economia Market,-71.175591,42.706612,470 Haverhill St,snap
La Nena Supermarket,-71.179924,42.703903,64 Milton St,snap
Lawrence Fuel,-71.140038,42.684776,233 Winthrop Ave,snap
Leourys Market,-71.153496,42.711441,101 Union St,snap
Lyr Minimarket Inc,-71.149048,42.714581,486 Howard St,snap
Mi Pais Market Inc,-71.174362,42.690105,610 Andover St,snap
Mt. Vernon Convenience,-71.173424,42.685162,58 Beacon St,snap
Multiple Service Inc,-71.157837,42.71254,119 Jackson St,snap
Newbury St Supermarket Inc,-71.155556,42.71299,169 Newbury St,snap
Ocoa Market Inc,-71.171417,42.717442,461 Hampshire St,snap
Park Street Convenience,-71.162071,42.716667,75 Park St,snap
Pescaderia Los Asbestero,-71.174934,42.707218,2 Railroad St,snap
Popular Market Store Inc,-71.159355,42.690163,319 S Broadway,snap
Quezada Grocery,-71.176529,42.701767,857 Essex St,snap
Quile Market And Restaurant,-71.155556,42.711174,89A Newbury St,snap
Rd Supermarkert Inc,-71.173569,42.711327,354 Broadway,snap
Richdale Convenience Store,-71.163895,42.698177,53 S Broadway,snap
Rite Aid 10113,-71.163155,42.707024,365 Essex St,snap
Saigon Market,-71.153351,42.69487,298 S Union St,snap
Sammy's Market,-71.161789,42.693775,208 S Broadway,snap
Sams Food Store,-71.174446,42.712528,389 Broadway,snap
Santiago Market And Flowers,-71.161255,42.707756,293 Essex St,snap
Sebas Market,-71.168999,42.705784,88 Broadway,snap
Shin Shin Oriental Grocery,-71.15274,42.685867,603 S Union St,snap
Speedway 2407,-71.153046,42.689182,500 S Union St,snap
Speedway 2499,-71.177948,42.716885,615 Broadway,snap
Tedeschi's Food Shop 469,-71.17334,42.690102,3 Beacon St,snap
Tony's Convenience,-71.157829,42.695679,191A Parker St,snap
Tower Hill Mini Mart Inc,-71.181976,42.700645,99 Ames St,snap
Tropical Mini Market Corp,-71.153419,42.698505,121 S Union St,snap
Union Supermarket 111,-71.157936,42.719444,304 Jackson St,snap
Villar Supermarket 1,-71.157501,42.707771,165 Essex St,snap
Walgreen's 04571,-71.161316,42.693123,220 S Broadway,snap
Gigante Meat Market,-71.176013,42.734556,139 Park Street,wic
Gomez Convenience Inc.,-71.174098,42.697751,252 Water Street,wic
Perrotta's Super Drug,-71.154475,42.717183,292 Prospect Street,wic
RRS El Pilon Inc.,-71.169125,42.711405,262 Hampshire Street,wic
Two Brothers Market,-71.168692,42.707823,100 Franklin St,none
Gonzalez Market,-71.153388,42.711671,101 Union St,none
Fernandez Market,-71.156299,42.707687,102 Essex St,none
La Dulce Abuelita,-71.163459,42.697003,111 S Broadway,none
Dominican Market,-71.157682,42.712833,119 Jackson St,none
Mora Grocery,-71.170125,42.709611,130 Franklin St,none
South Broadway Market,-71.16311,42.696105,135 S Broadway,none
Corporation Market,-71.155815,42.712712,136 Newbury St,none
Nizao Food Market,-71.17147,42.699611,140 Water St,none
Sons Somnang Market,-71.153515,42.698193,141 S Union St,none
Gas N Go,-71.148801,42.689712,150 Winthrop Ave,none
Strella Market,-71.174967,42.71792,155 Arlington St,none
Kiara Market,-71.167282,42.716523,164 Park St,none
Bonao Market,-71.155277,42.713251,169 Newbury St,none
Yaport Market,-71.153206,42.697526,176 S Union St,none
Mellos Supermarket,-71.165257,42.716535,187 Lawrence St,none
Yashira Market,-71.16235,42.69437,193 S Broadway,none
La Vecina Meat Market,-71.170356,42.707461,202 Broadway,none
Jacqueline Meat Market & Supermarket,-71.163273,42.697476,233 Salem St,none
Esperalta Grocery,-71.169895,42.707886,205 Broadway,none
Mejia Market,-71.165605,42.716493,206 Lawrence,none
Chris's Convenience Store,-71.168202,42.710641,232 Hampshire St,none
Minaya Margarita,-71.153644,42.696179,241 S Union St,none
Arelis Market,-71.15338,42.696064,251 S Union St,none
La Nueva Equina Meat Market,-71.17014,42.706337,260 Lowell St,none
Pilon Market,-71.169211,42.711334,262 Hampshire St,none
Borinquen Grocery,-71.172709,42.716355,269 Park St,none
Costanza Meat Market,-71.167901,42.719176,271 Lawrence St,none
South Union Street Market,-71.153057,42.695414,280 S Union St,none
Sirois Food Products Inc,-71.171826,42.706331,291 Lowell St,none
Strella Market,-71.154603,42.717643,294 Prospect St,none
La Nueva Generacion,-71.172769,42.709863,296 Broadway,none
Macoris Variety,-71.169001,42.719519,296 Lawrence St,none
Guzman Yajaira,-71.164267,42.715408,3 Trenton St,none
El Pilon Market II,-71.158357,42.71966,304 Jackson St,none
La Conquista Groceries,-71.172337,42.710233,307 Broadway,none
Union Supermarket #4,-71.173894,42.716326,309 Park St,none
Riverside Specialty Foods Inc,-71.183986,42.688097,32 International Way,none
Kailey Market,-71.155039,42.718436,324 Prospect St,none
Los Hermanos' Market,-71.170145,42.720576,334 Lawrence St,none
Jacqueline's Grocery Store,-71.173235,42.705096,334 Lowell St,none
Stop 1 Supermarket,-71.171264,42.714147,352 Hampshire St,none
Fernando Super Market,-71.173774,42.711514,354 Broadway,none
Genesis Market,-71.174204,42.704722,360 Lowell St,none
Miguel Grocery,-71.173897,42.712077,373 Broadway ,none
Elizabeth Grocery,-71.175368,42.704559,385 Lowell St,none
Fantastic Four Market & Deli,-71.171425,42.715282,388 Hampshire St,none
Colony Foods Inc.,-71.174978,42.708182,439 Haverhill St,none
Quisiqueya Market,-71.171582,42.717832,460 Hampshire St,none
El Mercadito,-71.170186,42.715214,49 Walnut St,none
Alba Market,-71.157854,42.718444,51 Berkeley St,none
Bob's Grocery Store,-71.167747,42.691545,513 Andover St,none
Fama Market & Services Inc.,-71.176356,42.715241,517 Broadway,none
Ariass Inc,-71.159114,42.69938,54 Parker St,none
Popular Variety,-71.159119,42.69922,58 Parket St,none
Li'l Peach Grocerette,-71.17368,42.690322,603 Andover St,none
Tommy's Grocery,-71.179987,42.704213,64 Milton St,none
La Dioma Grocery,-71.170941,42.703677,656 Essex St,none
Vanessa's Market,-71.172898,42.716117,68 Willow St,none
Giorgios Convenience Inc,-71.171473,42.703362,680 Essex St,none
Valeria Market,-71.155914,42.71559,71 E Haverhill St,none
America's Food Basket,-71.150295,42.689576,73 Winthrop Ave,none
Altamira Market,71.172473,42.709401,88 Broadway,none
Emmunel Market,71.163056,42.716678,99 Park St,none
