STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
3 J Market,-71.170486,42.711632,88 Auburn St,,Lawrence,MA,1841,3613,ESSEX
7-ELEVEN 33454B,-71.165619,42.707535,99 Hampshire St,,Lawrence,MA,1840,1205,ESSEX
7-Eleven Store 34405B,-71.18959,42.704838,703 Haverhill St,,Lawrence,MA,1841,4011,ESSEX
Abreu Market Inc,-71.162537,42.691517,34 Brookfield St,,Lawrence,MA,1843,2559,ESSEX
Bonanza Market Inc,-71.157799,42.713905,179 Jackson St,,Lawrence,MA,1841,2750,ESSEX
Broadway Corner Mart,-71.15464,42.68346,501 S Broadway,,Lawrence,MA,1843,3532,ESSEX
Cardenes Market,-71.171555,42.71941,513 Hampshire St,,Lawrence,MA,1841,1040,ESSEX
Carlos Grocery,-71.167274,42.714973,51 Myrtle St,,LAWRENCE,MA,1841,,ESSEX
Carniceria Market,-71.157906,42.711418,88 Jackson St,,Lawrence,MA,1841,3821,ESSEX
Castillo Food Enterprises Inc,-71.168068,42.718899,271 Lawrence St,,Lawrence,MA,1841,1154,ESSEX
Cavali Meat Market Inc,-71.1744,42.702168,775 Essex St,,Lawrence,MA,1841,4606,ESSEX
City Mart,-71.180656,42.704563,576 Haverhill St,,Lawrence,MA,1841,4235,ESSEX
Corporation Market,-71.15564,42.71254,136 Newbury St,,Lawrence,MA,1841,3910,ESSEX
Cumberland Farms 6742,-71.158882,42.689598,320 S Broadway,,Lawrence,MA,1843,2692,ESSEX
Dollar Tree 6095,-71.162727,42.695835,138 S Broadway,,Lawrence,MA,1843,1428,ESSEX
E Market 2,-71.150185,42.702663,265 Merrimack St,,Lawrence,MA,1843,1700,ESSEX
El Arca Supermarket,-71.172241,42.709766,296 Broadway,,Lawrence,MA,1841,3540,ESSEX
El Gustaso Supermarket And Restaurant Inc,-71.17215,42.709667,298 Broadway,,Lawrence,MA,1841,3510,ESSEX
El Mercadito Grocery Store,-71.170357,42.714943,49 Walnut St,,Lawrence,MA,1841,3121,ESSEX
El Pilon Supermarket,-71.168884,42.711399,262 Hampshire St,,Lawrence,MA,1841,3643,ESSEX
El Rincon Dominicana 1,-71.173996,42.702248,773 Essex St,,Lawrence,MA,1841,4606,ESSEX
Elvis's Variety,-71.165863,42.69725,9 Newton St,,Lawrence,MA,1843,1313,ESSEX
Emmanuel Market,-71.163055,42.716637,99 Park St,,Lawrence,MA,1841,1742,ESSEX
Family Dollar 3462,-71.150497,42.690643,69B Winthrop Ave,,Lawrence,MA,1843,2818,ESSEX
Family Dollar Store 11535,-71.158844,42.689548,320 S Broadway,,Lawrence,MA,1843,2692,ESSEX
Fernandez Grocery Inc,-71.168365,42.710781,232 Hampshire St,,Lawrence,MA,1841,3626,ESSEX
Frias Mini Market,-71.156342,42.694122,180 Boxford St,,Lawrence,MA,1843,2232,ESSEX
GEMELAS MARKET,-71.153374,42.709881,54 Union St,,Lawrence,MA,1840,1818,ESSEX
Go 1 Dollar 4,-71.149765,42.690166,73 Winthrop Ave,,Lawrence,MA,1843,2836,ESSEX
Gomez Market,-71.15461,42.717476,294 Prospect St,,Lawrence,MA,1841,2021,ESSEX
Groundwork Lawrence Inc (Saturday Market),-71.14492,42.687401,Wintrhop Rd,Rt 14 Sullivan Park,Lawrence,MA,1843,1715,ESSEX
